Baker, Jo Rae Perkins, Republican, 70.39
Benton, Jeff Merkley, Democrat, 67.29
Clackamas, Jeff Merkley, Democrat, 53.79
Clatsop, Jeff Merkley, Democrat, 55.48
Columbia, Jo Rae Perkins, Republican, 50.41
Coos, Jo Rae Perkins, Republican, 55.53
Crook, Jo Rae Perkins, Republican, 70.17
Curry, Jo Rae Perkins, Republican, 54.72
Deschutes, Jeff Merkley, Democrat, 53.19
Douglas, Jo Rae Perkins, Republican, 63.87
Gilliam, Jo Rae Perkins, Republican, 65.55
Grant, Jo Rae Perkins, Republican, 72.52
Harney, Jo Rae Perkins, Republican, 73.41
Hood River, Jeff Merkley, Democrat, 66.89
Jackson, Jo Rae Perkins, Republican, 49.08
Jefferson, Jo Rae Perkins, Republican, 57.95
Josephine, Jo Rae Perkins, Republican, 59.1
Klamath, Jo Rae Perkins, Republican, 65.53
Lake, Jo Rae Perkins, Republican, 76.46
Lane, Jeff Merkley, Democrat, 61.26
Lincoln, Jeff Merkley, Democrat, 57.88
Linn, Jo Rae Perkins, Republican, 57.76
Malheur, Jo Rae Perkins, Republican, 67.97
Marion, Jeff Merkley, Democrat, 49.37
Morrow, Jo Rae Perkins, Republican, 66.02
Multnomah, Jeff Merkley, Democrat, 78.53
Polk, Jo Rae Perkins, Republican, 48.24
Sherman, Jo Rae Perkins, Republican, 71.67
Tillamook, Jeff Merkley, Democrat, 50.19
Umatilla, Jo Rae Perkins, Republican, 61.74
Union, Jo Rae Perkins, Republican, 66.24
Wallowa, Jo Rae Perkins, Republican, 64.43
Wasco, Jeff Merkley, Democrat, 48.67
Washington, Jeff Merkley, Democrat, 64.64
Wheeler, Jo Rae Perkins, Republican, 69.31
Yamhill, Jo Rae Perkins, Republican, 49.12
